State,Total,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,16 Years and Over,18 Years and Over,15 to 44 Years,45 to 64 Years,65 Years and Over,85 Years and Over
AL,4661900,310504,552339,259034,450818,3671200,3540023,1878306,1215966,641667,85079
AK,686293,52083,85640,42153,74257,528405,506417,305207,183159,50277,4844
AZ,6500180,515910,828669,362642,601943,4975709,4792959,2680368,1523681,862573,122985
AR,2855390,202070,343207,157204,264160,2233398,2152909,1137988,727124,407205,58675
CA,36756666,2704659,4499890,2159981,3853788,28492781,27392136,16091480,8819342,4114496,612463
CO,4939456,358280,587154,261701,466194,3865113,3732321,2129158,1290094,511094,67286
CT,3501252,211637,403658,196918,325110,2788471,2689039,1390702,968967,478007,79111
DE,873092,59319,99496,47414,84464,690990,666863,350565,230528,121688,16118
DC,591833,36352,50439,25225,75569,492806,479817,288300,140043,70648,11144
